node,in_degree,out_degree,total_degree,betweenness,closeness,pagerank,domirank,hub_score,category
PVG,132220.0,138600.0,270820.0,0.5642857142857144,874.2921325694073,0.27455666828257796,1.0,1.0,Major Hub
PEK,90525.0,91165.0,181690.0,0.5,869.9093249310208,0.19828961248270935,0.0,0.4692469857237961,Regional Hub
CAN,83405.0,82145.0,165550.0,0.33571428571428574,866.9933371501005,0.1713239126267714,0.07604156473859434,0.4502738201131975,Regional Hub
CTU,32280.0,31120.0,63400.0,0.05714285714285715,821.7130093103456,0.06438952187232877,0.394440806985982,0.28133246400569917,Regional Hub
SZX,32110.0,31890.0,64000.0,0.06190476190476191,845.8144613328994,0.06451975784551844,0.044010500729007654,0.17775674146065806,Feeder
CGO,28320.0,26580.0,54900.0,0.0,840.6769984790741,0.05531408358389417,0.12006429791447278,0.17701344574685457,Feeder
KMG,10510.0,9870.0,20380.0,0.14285714285714288,784.1967372486271,0.025465739927433853,0.37819521094707037,0.16508220408595556,Feeder
CKG,5950.0,5370.0,11320.0,0.0,678.9017631144624,0.01729777753557524,0.32486178565698265,0.12562629958495633,Feeder
URC,2080.0,1820.0,3900.0,0.0,623.3830936002852,0.010663627144669383,0.3550446870475093,0.11547116926241464,Feeder
SHE,1720.0,1640.0,3360.0,0.0,587.5770550508831,0.009998069299700381,0.35322824843645517,0.11352820528025233,Feeder
HRB,1440.0,1360.0,2800.0,0.0,552.7990731479654,0.009480413198057824,0.35134453432128787,0.11151327966912103,Feeder
DLC,1320.0,1240.0,2560.0,0.0,535.1261063611704,0.009258560583068157,0.35053722827193046,0.11064974012149333,Feeder
WUH,3800.0,3600.0,7400.0,0.0,702.6405201415429,0.013252358706189776,0.30092683708621687,0.10829713537765882,Feeder
XIY,2980.0,2780.0,5760.0,0.0,655.1007288465769,0.011918503358458486,0.31408020641332096,0.1079972700015168,Feeder
HAK,840.0,760.0,1600.0,0.0,438.359824937543,0.00830729985492078,0.3461110818998168,0.10683650527857734,Feeder
XMN,1120.0,1000.0,2120.0,0.42619047619047623,319.63999571215834,0.008755361520972397,0.3407017584655689,0.10655996166941399,Feeder
TSN,600.0,560.0,1160.0,0.0,366.1424085952508,0.007927444893130155,0.3458279429840122,0.10561242609366508,Feeder
TAO,900.0,820.0,1720.0,0.35000000000000003,328.91893595088754,0.008399613043783073,0.33826743659583786,0.10479408555379388,Feeder
NKG,860.0,780.0,1640.0,0.0,352.3705458956861,0.008277031407218494,0.3365753475070151,0.10407934291620691,Feeder
NNG,320.0,280.0,600.0,0.0,243.4071130189484,0.007385464879796662,0.3434953830533384,0.10346284673788182,Feeder
CSX,700.0,660.0,1360.0,0.0,399.9673931560928,0.00799687333073846,0.3331213856454094,0.10231824866943463,Feeder
HGH,240.0,200.0,440.0,0.0,197.14712801085167,0.007222304622486954,0.33907742377190836,0.1017232271315725,Feeder
